VPN,Cond,Ecc,VideoID,EccCut,RT
1,1,1,34,,
1,1,1,73,,
1,1,1,2,0.58,0.48
1,1,1,100,1.01,-0.13
1,1,1,100,11.05,0.26
1,1,1,69,1.33,0.28
1,1,1,70,2.17,0.78
1,1,1,61,10.56,0.54
1,1,1,34,1.07,-0.54
1,1,1,70,5.32,0.58
1,1,1,69,0.59,0.54
1,1,1,61,11.70,0.54
1,1,1,73,12.18,0.70
1,1,2,92,1.41,0.35
1,1,2,44,0.42,0.48
1,1,2,88,5.42,0.45
1,1,2,105,1.48,0.28
1,1,2,45,6.21,1.26
1,1,2,38,5.74,0.26
1,1,2,45,0.73,1.64
1,1,2,105,6.77,-0.07
1,1,2,92,22.44,0.55
1,1,2,44,2.11,0.41
1,1,3,52,,
1,1,3,18,0.98,0.13
1,1,3,15,,
1,1,3,80,11.50,0.45
1,1,3,52,20.67,0.27
1,1,3,80,26.27,0.23
1,1,3,78,3.57,0.29
1,1,3,15,4.65,0.90
1,1,3,19,0.85,0.15
1,1,3,84,18.63,0.40
1,1,3,84,3.25,0.28
1,1,3,78,9.58,0.48
1,1,3,14,0.29,0.65
1,1,3,59,12.54,0.10
1,1,3,75,12.87,0.72
1,1,3,19,1.24,1.05
1,1,3,18,3.72,0.03
1,1,3,14,1.35,0.85
1,1,4,21,0.67,0.48
1,1,4,122,0.63,1.00
1,1,4,21,0.97,0.45
1,1,4,22,0.34,0.95
1,1,4,121,27.31,0.98
1,1,4,120,28.13,0.64
1,1,4,117,10.89,0.69
1,1,4,122,34.32,0.70
1,1,4,123,20.03,0.85
1,1,4,22,9.18,0.82
1,1,4,123,24.52,0.43
1,1,4,117,2.72,0.54
1,1,4,120,7.32,0.56
1,2,1,69,0.88,0.45
1,2,1,70,2.77,0.75
1,2,1,61,1.72,0.47
1,2,1,34,8.34,-0.27
1,2,1,70,6.14,0.98
1,2,1,69,7.11,0.42
1,2,1,61,9.53,0.65
1,2,1,73,13.84,0.56
1,2,1,2,3.57,0.90
1,2,2,45,7.77,1.46
1,2,2,105,6.03,-0.12
1,2,2,92,33.71,0.56
1,2,2,44,5.99,0.80
1,2,3,78,4.98,0.23
1,2,3,14,5.57,1.03
1,2,3,59,6.47,0.21
1,2,3,75,19.36,0.61
1,2,3,19,3.57,0.33
1,2,3,18,1.20,0.35
1,2,3,14,1.96,0.50
1,2,4,22,19.49,1.05
1,2,4,123,10.16,0.58
1,2,4,117,19.83,0.21
1,2,4,120,8.91,1.09
2,1,1,100,6.70,0.16
2,1,1,69,,
2,1,1,70,1.58,0.68
2,1,1,61,1.19,0.40
2,1,1,34,0.43,-0.29
2,1,1,70,0.51,0.73
2,1,1,69,0.28,0.32
2,1,1,61,5.25,0.22
2,1,1,73,,
2,1,1,2,2.85,0.73
2,1,2,88,2.21,0.55
2,1,2,105,8.57,-0.15
2,1,2,45,5.58,1.29
2,1,2,88,15.84,-0.20
2,1,2,45,6.19,1.84
2,1,2,105,16.68,-0.09
2,1,2,92,11.94,0.40
2,1,2,44,0.80,0.24
2,1,2,38,4.82,-0.21
2,1,3,15,15.68,0.59
2,1,3,19,10.76,-0.97
2,1,3,84,13.92,-0.45
2,1,3,59,,
2,1,3,78,28.97,-0.14
2,1,3,14,11.06,-0.28
2,1,3,59,23.53,-0.39
2,1,3,75,25.24,0.14
2,1,3,19,0.30,-1.02
2,1,3,18,8.71,0.30
2,1,3,14,15.25,0.70
2,1,3,75,,
2,1,4,21,17.12,-0.38
2,1,4,22,33.61,-0.30
2,1,4,121,6.67,-0.05
2,1,4,120,27.43,-0.43
2,1,4,117,,
2,1,4,122,29.65,-0.12
2,1,4,121,18.58,0.54
2,1,4,123,1.43,0.78
2,1,4,22,38.28,-0.16
2,1,4,123,32.27,0.31
2,1,4,117,,
2,1,4,120,23.00,0.89
2,2,1,100,9.05,0.19
2,2,1,69,0.32,0.50
2,2,1,70,0.24,0.90
2,2,1,61,0.72,0.50
2,2,1,34,0.37,-0.12
2,2,1,70,12.78,0.60
2,2,1,69,1.18,0.75
2,2,1,61,0.25,0.52
2,2,1,73,0.38,0.76
2,2,1,2,0.40,0.85
2,2,2,88,1.34,0.35
2,2,2,105,11.24,-0.32
2,2,2,45,10.84,1.07
2,2,2,38,5.02,0.26
2,2,2,88,16.55,0.02
2,2,2,45,,
2,2,2,105,6.87,-0.12
2,2,2,92,24.44,0.48
2,2,2,44,8.93,0.35
2,2,2,38,4.87,-0.08
2,2,3,15,12.26,0.35
2,2,3,19,,
2,2,3,84,,
2,2,3,84,14.55,0.48
2,2,3,59,25.12,0.00
2,2,3,78,29.69,-0.07
2,2,3,14,,
2,2,3,59,,
2,2,3,75,26.06,0.14
2,2,3,19,,
2,2,3,18,0.94,-0.70
2,2,3,14,0.66,0.10
2,2,3,75,19.75,0.26
2,2,4,22,36.42,0.03
2,2,4,121,25.92,0.97
2,2,4,120,36.84,0.09
2,2,4,117,,
2,2,4,122,34.55,0.28
2,2,4,121,17.71,0.40
2,2,4,123,23.08,0.35
2,2,4,22,40.09,0.00
2,2,4,123,31.76,0.28
2,2,4,117,,
2,2,4,120,25.73,0.76
3,1,1,73,2.58,0.91
3,1,1,2,3.28,0.77
3,1,1,100,1.02,0.26
3,1,1,100,5.82,0.02
3,1,1,70,1.04,0.92
3,1,1,61,1.42,0.42
3,1,1,34,4.12,-0.14
3,1,1,70,0.24,0.35
3,1,1,69,0.26,0.18
3,1,1,61,6.12,0.44
3,1,1,73,0.44,0.46
3,1,1,2,6.10,0.48
3,1,2,92,6.92,0.31
3,1,2,44,3.15,0.08
3,1,2,88,3.41,0.30
3,1,2,105,,
3,1,2,45,,
3,1,2,88,3.96,0.20
3,1,2,45,1.20,1.42
3,1,2,105,1.57,-0.02
3,1,2,92,2.26,0.63
3,1,2,44,0.38,0.21
3,1,3,18,7.58,0.05
3,1,3,15,3.17,1.10
3,1,3,80,15.27,0.53
3,1,3,52,3.65,0.05
3,1,3,80,23.57,0.40
3,1,3,78,,
3,1,3,15,12.11,0.78
3,1,3,19,16.38,0.25
3,1,3,84,9.85,0.25
3,1,3,78,1.69,0.58
3,1,3,14,6.13,0.60
3,1,3,75,16.09,0.47
3,1,3,19,3.80,0.08
3,1,3,18,9.61,0.10
3,1,3,14,1.24,0.47
3,1,4,21,2.78,0.59
3,1,4,122,1.94,0.45
3,1,4,21,11.24,-0.05
3,1,4,22,0.50,0.92
3,1,4,121,9.36,0.52
3,1,4,120,3.13,0.84
3,1,4,117,7.29,0.49
3,1,4,122,1.77,0.66
3,1,4,123,4.61,0.53
3,1,4,22,8.61,0.40
3,1,4,123,5.44,0.60
3,1,4,117,,
3,1,4,120,3.08,0.16
3,2,1,34,1.58,-0.22
3,2,1,73,6.51,0.46
3,2,1,2,13.68,0.53
3,2,1,100,0.72,0.14
3,2,1,100,1.28,0.24
3,2,1,70,4.59,0.85
3,2,1,61,4.44,0.57
3,2,1,34,4.55,0.06
3,2,1,70,8.68,1.05
3,2,1,69,3.06,0.48
3,2,1,61,1.78,0.55
3,2,1,73,6.61,0.85
3,2,1,2,4.26,1.05
3,2,2,92,1.74,0.15
3,2,2,44,4.98,0.35
3,2,2,88,6.52,0.45
3,2,2,105,3.30,0.09
3,2,2,45,1.76,1.54
3,2,2,38,2.71,0.22
3,2,2,88,13.63,0.20
3,2,2,45,1.20,1.19
3,2,2,105,12.00,0.21
3,2,2,92,4.93,0.18
3,2,2,44,3.66,0.31
3,2,3,52,2.80,0.30
3,2,3,18,,
3,2,3,15,9.65,0.79
3,2,3,80,6.64,0.41
3,2,3,52,,
3,2,3,80,13.93,0.38
3,2,3,78,7.04,0.08
3,2,3,15,7.31,0.80
3,2,3,19,4.17,0.16
3,2,3,84,15.34,0.16
3,2,3,84,11.69,0.18
3,2,3,59,21.89,-0.15
3,2,3,78,13.81,0.38
3,2,3,14,6.30,0.65
3,2,3,59,18.99,0.55
3,2,3,75,13.54,0.56
3,2,3,19,4.95,0.25
3,2,3,18,1.11,0.31
3,2,3,14,0.92,0.80
3,2,4,21,,
3,2,4,122,2.15,0.93
3,2,4,21,,
3,2,4,22,11.09,1.12
3,2,4,121,9.01,0.97
3,2,4,120,14.62,0.61
3,2,4,117,13.18,0.36
3,2,4,122,0.95,0.68
3,2,4,123,5.48,0.56
3,2,4,22,24.81,0.82
3,2,4,123,23.00,0.38
3,2,4,117,17.44,0.31
3,2,4,120,10.98,0.37
4,1,1,69,3.31,0.50
4,1,1,70,5.04,0.83
4,1,1,61,3.78,0.52
4,1,1,34,3.99,0.00
4,1,1,70,5.47,0.88
4,1,1,69,2.59,0.43
4,1,1,61,1.98,0.59
4,1,1,73,5.39,0.80
4,1,1,2,1.02,0.92
4,1,2,45,2.29,1.36
4,1,2,105,9.29,0.18
4,1,2,92,2.29,0.28
4,1,2,44,1.11,0.36
4,1,3,78,1.00,0.44
4,1,3,14,1.42,0.75
4,1,3,59,6.01,0.45
4,1,3,75,7.31,0.62
4,1,3,19,3.90,0.26
4,1,3,18,6.22,0.26
4,1,3,14,5.98,0.82
4,1,4,123,9.05,0.43
4,1,4,22,12.27,0.85
4,1,4,123,0.62,0.43
4,1,4,117,9.81,0.39
4,1,4,120,13.14,0.52
4,2,1,73,,
4,2,1,2,1.76,0.50
4,2,1,100,0.53,0.09
4,2,1,100,,
4,2,1,69,0.52,0.40
4,2,1,70,1.70,0.80
4,2,1,61,1.76,0.45
4,2,1,34,1.84,-0.05
4,2,1,70,4.99,0.92
4,2,1,69,1.45,0.38
4,2,1,61,4.79,0.47
4,2,1,73,1.60,0.68
4,2,1,2,1.57,0.83
4,2,2,92,1.80,0.30
4,2,2,44,0.17,0.31
4,2,2,88,0.77,0.57
4,2,2,105,1.51,0.18
4,2,2,45,1.42,1.54
4,2,2,38,1.91,0.37
4,2,2,88,5.08,0.18
4,2,2,45,2.06,1.22
4,2,2,105,6.91,0.24
4,2,2,92,2.55,0.31
4,2,2,44,2.04,0.35
4,2,2,38,2.34,0.32
4,2,3,52,1.04,0.37
4,2,3,18,,
4,2,3,15,1.22,0.82
4,2,3,80,0.52,0.50
4,2,3,52,,
4,2,3,80,27.18,0.43
4,2,3,78,0.39,0.19
4,2,3,15,11.15,0.78
4,2,3,19,0.48,0.25
4,2,3,84,0.81,0.18
4,2,3,84,1.48,0.25
4,2,3,59,,
4,2,3,78,3.56,0.44
4,2,3,14,5.08,0.58
4,2,3,59,,
4,2,3,75,8.66,0.59
4,2,3,19,,
4,2,3,18,11.26,0.28
4,2,3,14,1.25,0.73
4,2,3,75,,
4,2,4,21,,
4,2,4,122,0.67,0.85
4,2,4,21,,
4,2,4,22,0.53,0.97
4,2,4,121,0.67,0.97
4,2,4,120,0.27,0.56
4,2,4,117,1.68,0.37
4,2,4,122,0.56,0.60
4,2,4,123,4.72,0.43
4,2,4,22,7.10,0.70
4,2,4,123,1.43,0.31
4,2,4,117,9.31,0.47
4,2,4,120,11.61,0.47
5,1,1,69,0.31,0.54
5,1,1,70,1.21,0.85
5,1,1,61,0.71,0.57
5,1,1,34,0.94,0.10
5,1,1,70,1.33,0.93
5,1,1,69,,
5,1,1,61,1.05,0.47
5,1,1,73,0.78,0.80
5,1,1,2,0.71,1.05
5,1,2,88,0.30,0.33
5,1,2,45,,
5,1,2,105,1.85,0.26
5,1,2,92,0.48,0.31
5,1,2,44,0.83,0.36
5,1,2,38,2.62,0.26
5,1,3,59,,
5,1,3,78,6.73,0.41
5,1,3,14,1.06,0.67
5,1,3,59,13.45,0.40
5,1,3,75,2.22,0.62
5,1,3,19,1.03,0.11
5,1,3,18,0.53,0.25
5,1,3,14,1.16,0.77
5,1,3,75,5.19,0.62
5,1,4,121,2.71,0.92
5,1,4,123,1.67,0.46
5,1,4,22,0.77,0.77
5,1,4,123,,
5,1,4,117,1.01,0.49
5,1,4,120,0.26,0.47
5,2,1,34,0.45,-0.22
5,2,1,73,0.23,0.66
5,2,1,2,0.94,0.62
5,2,1,100,0.68,0.04
5,2,1,100,,
5,2,1,69,7.14,0.55
5,2,1,70,3.83,0.87
5,2,1,61,5.61,0.57
5,2,1,34,3.26,0.08
5,2,1,70,0.73,0.95
5,2,1,69,,
5,2,1,61,7.42,0.54
5,2,1,73,4.35,0.73
5,2,1,2,3.28,0.93
5,2,2,92,,
5,2,2,44,2.02,0.36
5,2,2,88,0.64,0.60
5,2,2,105,2.42,0.33
5,2,2,45,13.41,1.46
5,2,2,38,,
5,2,2,88,2.90,0.37
5,2,2,45,,
